DATE,Div_Yield
"Jan 31, 2017",0.0202
"Dec 31, 2016",0.0203
"Nov 30, 2016",0.021
"Oct 31, 2016",0.0211
"Sep 30, 2016",0.0209
"Aug 31, 2016",0.0207
"Jul 31, 2016",0.0208
"Jun 30, 2016",0.0213
"May 31, 2016",0.0214
"Apr 30, 2016",0.0212
"Mar 31, 2016",0.0217
"Feb 29, 2016",0.023
"Jan 31, 2016",0.0227
"Dec 31, 2015",0.0211
"Nov 30, 2015",0.0207
"Oct 31, 2015",0.0211
"Sep 30, 2015",0.0219
"Aug 31, 2015",0.0207
"Jul 31, 2015",0.0201
"Jun 30, 2015",0.0199
"May 31, 2015",0.0196
"Apr 30, 2015",0.0196
"Mar 31, 2015",0.0196
"Feb 28, 2015",0.0194
"Jan 31, 2015",0.0197
"Dec 31, 2014",0.0192
"Nov 30, 2014",0.0191
"Oct 31, 2014",0.02
"Sep 30, 2014",0.0193
"Aug 31, 2014",0.0194
"Jul 31, 2014",0.0191
"Jun 30, 2014",0.0192
"May 31, 2014",0.0196
"Apr 30, 2014",0.0196
"Mar 31, 2014",0.0194
"Feb 28, 2014",0.0197
"Jan 31, 2014",0.0194
"Dec 31, 2013",0.0194
"Nov 30, 2013",0.0195
"Oct 31, 2013",0.0201
"Sep 30, 2013",0.0204
"Aug 31, 2013",0.0204
"Jul 31, 2013",0.0202
"Jun 30, 2013",0.0206
"May 31, 2013",0.0201
"Apr 30, 2013",0.0207
"Mar 31, 2013",0.0207
"Feb 28, 2013",0.021
"Jan 31, 2013",0.0213
"Dec 31, 2012",0.022
"Nov 30, 2012",0.022
"Oct 31, 2012",0.021
"Sep 30, 2012",0.0205
"Aug 31, 2012",0.0208
"Jul 31, 2012",0.0211
"Jun 30, 2012",0.0214
"May 31, 2012",0.0209
"Apr 30, 2012",0.02
"Mar 31, 2012",0.0197
"Feb 29, 2012",0.02
"Jan 31, 2012",0.0206
"Dec 31, 2011",0.0213
"Nov 30, 2011",0.0212
"Oct 31, 2011",0.0212
"Sep 30, 2011",0.0215
"Aug 31, 2011",0.021
"Jul 31, 2011",0.0186
"Jun 30, 2011",0.0189
"May 31, 2011",0.018
"Apr 30, 2011",0.0178
"Mar 31, 2011",0.018
"Feb 28, 2011",0.0176
"Jan 31, 2011",0.0179
"Dec 31, 2010",0.0183
"Nov 30, 2010",0.0189
"Oct 31, 2010",0.0192
"Sep 30, 2010",0.0199
"Aug 31, 2010",0.0205
"Jul 31, 2010",0.0205
"Jun 30, 2010",0.0203
"May 31, 2010",0.0195
"Apr 30, 2010",0.0183
"Mar 31, 2010",0.019
"Feb 28, 2010",0.0203
"Jan 31, 2010",0.0198
"Dec 31, 2009",0.0202
"Nov 30, 2009",0.021
"Oct 31, 2009",0.0219
"Sep 30, 2009",0.0229
"Aug 31, 2009",0.0242
"Jul 31, 2009",0.0267
"Jun 30, 2009",0.0276
"May 31, 2009",0.029
"Apr 30, 2009",0.0315
"Mar 31, 2009",0.036
"Feb 28, 2009",0.0343
"Jan 31, 2009",0.0324
"Dec 31, 2008",0.0323
"Nov 30, 2008",0.0323
"Oct 31, 2008",0.0296
"Sep 30, 2008",0.0237
"Aug 31, 2008",0.0225
"Jul 31, 2008",0.0229
"Jun 30, 2008",0.0214
"May 31, 2008",0.0204
"Apr 30, 2008",0.0208
"Mar 31, 2008",0.0215
"Feb 29, 2008",0.0207
"Jan 31, 2008",0.0203
"Dec 31, 2007",0.0187
"Nov 30, 2007",0.0188
"Oct 31, 2007",0.0177
"Sep 30, 2007",0.018
"Aug 31, 2007",0.0184
"Jul 31, 2007",0.0174
"Jun 30, 2007",0.0173
"May 31, 2007",0.0172
"Apr 30, 2007",0.0176
"Mar 31, 2007",0.0181
"Feb 28, 2007",0.0175
"Jan 31, 2007",0.0176
"Dec 31, 2006",0.0176
"Nov 30, 2006",0.0177
"Oct 31, 2006",0.0179
"Sep 30, 2006",0.0183
"Aug 31, 2006",0.0185
"Jul 31, 2006",0.0188
"Jun 30, 2006",0.0187
"May 31, 2006",0.018
"Apr 30, 2006",0.0177
"Mar 31, 2006",0.0176
"Feb 28, 2006",0.0177
"Jan 31, 2006",0.0175
"Dec 31, 2005",0.0176
"Nov 30, 2005",0.0178
"Oct 31, 2005",0.0182
"Sep 30, 2005",0.0175
"Aug 31, 2005",0.0174
"Jul 31, 2005",0.0173
"Jun 30, 2005",0.0174
"May 31, 2005",0.0176
"Apr 30, 2005",0.0176
"Mar 31, 2005",0.0169
"Feb 28, 2005",0.0166
"Jan 31, 2005",0.0167
"Dec 31, 2004",0.0162
"Nov 30, 2004",0.0166
"Oct 31, 2004",0.0172
"Sep 30, 2004",0.0171
"Aug 31, 2004",0.0174
"Jul 31, 2004",0.017
"Jun 30, 2004",0.0164
"May 31, 2004",0.0167
"Apr 30, 2004",0.0161
"Mar 31, 2004",0.016
"Feb 29, 2004",0.0156
"Jan 31, 2004",0.0155
"Dec 31, 2003",0.0161
"Nov 30, 2003",0.0163
"Oct 31, 2003",0.0162
"Sep 30, 2003",0.0163
"Aug 31, 2003",0.0166
"Jul 31, 2003",0.0164
"Jun 30, 2003",0.0164
"May 31, 2003",0.0173
"Apr 30, 2003",0.0182
"Mar 31, 2003",0.0192
"Feb 28, 2003",0.0193
"Jan 31, 2003",0.018
"Dec 31, 2002",0.0179
"Nov 30, 2002",0.0176
"Oct 31, 2002",0.0186
"Sep 30, 2002",0.0182
"Aug 31, 2002",0.0174
"Jul 31, 2002",0.0177
"Jun 30, 2002",0.0158
"May 31, 2002",0.0148
"Apr 30, 2002",0.0142
"Mar 31, 2002",0.0136
"Feb 28, 2002",0.0143
"Jan 31, 2002",0.0138
"Dec 31, 2001",0.0137
"Nov 30, 2001",0.0139
"Oct 31, 2001",0.0146
"Sep 30, 2001",0.0151
"Aug 31, 2001",0.0133
"Jul 31, 2001",0.013
"Jun 30, 2001",0.0127
"May 31, 2001",0.0124
"Apr 30, 2001",0.0133
"Mar 31, 2001",0.0135
"Feb 28, 2001",0.0123
"Jan 31, 2001",0.0121
"Dec 31, 2000",0.0122
"Nov 30, 2000",0.0118
"Oct 31, 2000",0.0117
"Sep 30, 2000",0.0111
"Aug 31, 2000",0.0111
"Jul 31, 2000",0.0113
"Jun 30, 2000",0.0114
"May 31, 2000",0.0118
"Apr 30, 2000",0.0115
"Mar 31, 2000",0.0116
"Feb 29, 2000",0.0121
"Jan 31, 2000",0.0117
"Dec 31, 1999",0.0117
"Nov 30, 1999",0.012
"Oct 31, 1999",0.0128
"Sep 30, 1999",0.0126
"Aug 31, 1999",0.0125
"Jul 31, 1999",0.012
"Jun 30, 1999",0.0124
"May 31, 1999",0.0123
"Apr 30, 1999",0.0123
"Mar 31, 1999",0.0128
"Feb 28, 1999",0.0131
"Jan 31, 1999",0.013
"Dec 31, 1998",0.0136
"Nov 30, 1998",0.0141
"Oct 31, 1998",0.0157
"Sep 30, 1998",0.0158
"Aug 31, 1998",0.015
"Jul 31, 1998",0.0138
"Jun 30, 1998",0.0144
"May 31, 1998",0.0143
"Apr 30, 1998",0.0142
"Mar 31, 1998",0.0145
"Feb 28, 1998",0.0152
"Jan 31, 1998",0.0161
"Dec 31, 1997",0.0161
"Nov 30, 1997",0.0164
"Oct 31, 1997",0.0162
"Sep 30, 1997",0.0164
"Aug 31, 1997",0.0165
"Jul 31, 1997",0.0164
"Jun 30, 1997",0.0173
"May 31, 1997",0.0182
"Apr 30, 1997",0.0198
"Mar 31, 1997",0.019
"Feb 28, 1997",0.0188
"Jan 31, 1997",0.0195
"Dec 31, 1996",0.02
"Nov 30, 1996",0.0201
"Oct 31, 1996",0.021
"Sep 30, 1996",0.0217
"Aug 31, 1996",0.0219
"Jul 31, 1996",0.0224
"Jun 30, 1996",0.0214
"May 31, 1996",0.0215
"Apr 30, 1996",0.0219
"Mar 31, 1996",0.0218
"Feb 29, 1996",0.0216
"Jan 31, 1996",0.0226
"Dec 31, 1995",0.0224
"Nov 30, 1995",0.023
"Oct 31, 1995",0.0234
"Sep 30, 1995",0.0235
"Aug 31, 1995",0.0242
"Jul 31, 1995",0.0241
"Jun 30, 1995",0.0248
"May 31, 1995",0.0254
"Apr 30, 1995",0.0261
"Mar 31, 1995",0.0267
"Feb 28, 1995",0.0273
"Jan 31, 1995",0.0283
"Dec 31, 1994",0.0289
"Nov 30, 1994",0.0284
"Oct 31, 1994",0.028
"Sep 30, 1994",0.0277
"Aug 31, 1994",0.0278
"Jul 31, 1994",0.0285
"Jun 30, 1994",0.0282
"May 31, 1994",0.0284
"Apr 30, 1994",0.0285
"Mar 31, 1994",0.0274
"Feb 28, 1994",0.0269
"Jan 31, 1994",0.0267
"Dec 31, 1993",0.027
"Nov 30, 1993",0.0271
"Oct 31, 1993",0.027
"Sep 30, 1993",0.0273
"Aug 31, 1993",0.0276
"Jul 31, 1993",0.028
"Jun 30, 1993",0.0279
"May 31, 1993",0.0281
"Apr 30, 1993",0.0282
"Mar 31, 1993",0.0277
"Feb 28, 1993",0.0282
"Jan 31, 1993",0.0285
"Dec 31, 1992",0.0284
"Nov 30, 1992",0.0293
"Oct 31, 1992",0.03
"Sep 30, 1992",0.0296
"Aug 31, 1992",0.0296
"Jul 31, 1992",0.0297
"Jun 30, 1992",0.0302
"May 31, 1992",0.0297
"Apr 30, 1992",0.0302
"Mar 31, 1992",0.0303
"Feb 29, 1992",0.0298
"Jan 31, 1992",0.0294
"Dec 31, 1991",0.0314
"Nov 30, 1991",0.0317
"Oct 31, 1991",0.0317
"Sep 30, 1991",0.0317
"Aug 31, 1991",0.0314
"Jul 31, 1991",0.0321
"Jun 30, 1991",0.0321
"May 31, 1991",0.0321
"Apr 30, 1991",0.0319
"Mar 31, 1991",0.0325
"Feb 28, 1991",0.0334
"Jan 31, 1991",0.0372
"Dec 31, 1990",0.0368
"Nov 30, 1990",0.0381
"Oct 31, 1990",0.0388
"Sep 30, 1990",0.0375
"Aug 31, 1990",0.0356
"Jul 31, 1990",0.0326
"Jun 30, 1990",0.0324
"May 31, 1990",0.033
"Apr 30, 1990",0.0338
"Mar 31, 1990",0.0334
"Feb 28, 1990",0.034
"Jan 31, 1990",0.0328
"Dec 31, 1989",0.0317
"Nov 30, 1989",0.0322
"Oct 31, 1989",0.0312
"Sep 30, 1989",0.0309
"Aug 31, 1989",0.0306
"Jul 31, 1989",0.0316
"Jun 30, 1989",0.032
"May 31, 1989",0.0327
"Apr 30, 1989",0.0335
"Mar 31, 1989",0.0342
"Feb 28, 1989",0.0338
"Jan 31, 1989",0.0345
"Dec 31, 1988",0.0353
"Nov 30, 1988",0.0356
"Oct 31, 1988",0.0344
"Sep 30, 1988",0.0353
"Aug 31, 1988",0.0356
"Jul 31, 1988",0.0346
"Jun 30, 1988",0.0341
"May 31, 1988",0.0357
"Apr 30, 1988",0.0344
"Mar 31, 1988",0.0337
"Feb 29, 1988",0.0345
"Jan 31, 1988",0.0354
